,session_key,location,session_name,year,air_temperature,humidity,pressure,rainfall,track_temperature,wind_direction,wind_speed
5,9094,Monaco,Race,2023,77.11863636363637,45.86363636363637,1013.3596590909091,1,102.66022727272728,143.01136363636363,2.249710227272727
8,9118,Spielberg,Race,2023,72.31647058823529,52.04575163398693,934.0156862745098,1,89.69764705882353,124.56209150326798,2.4548516339869284
11,9141,Spa-Francorchamps,Race,2023,64.17200000000001,61.92666666666667,966.6273333333334,1,82.83319999999999,130.04666666666665,3.567269333333334
12,9149,Zandvoort,Race,2023,62.22535885167464,70.77511961722487,1007.8244019138756,1,76.89406698564594,173.23923444976077,6.311765071770336
19,9205,São Paulo,Race,2023,68.82819672131149,58.17486338797814,927.9005464480873,1,116.19672131147541,184.1584699453552,2.92888087431694
30,9531,Montréal,Race,2024,62.810545454545455,75.7030303030303,996.3327272727272,1,73.6650909090909,165.38787878787878,2.687111515151515
31,9539,Barcelona,Race,2024,75.42356687898089,63.43312101910828,1001.3535031847134,1,105.93184713375796,208.12738853503186,4.740445222929936
32,9550,Spielberg,Race,2024,84.96657342657342,35.00699300699301,932.862937062937,1,115.55776223776223,235.51048951048952,3.7309405594405596
33,9558,Silverstone,Race,2024,60.387346938775515,67.33333333333333,992.1265306122449,1,81.8061224489796,221.22448979591837,3.0161455782312925
42,9636,São Paulo,Race,2024,70.99283582089554,85.2587064676617,926.4567164179103,1,78.38537313432836,188.955223880597,1.6460313432835822
