,session_key,location,session_name,year
0,7953,Sakhir,Race,2023
1,7779,Jeddah,Race,2023
2,7787,Melbourne,Race,2023
3,9070,Baku,Race,2023
4,9078,Miami,Race,2023
5,9094,Monaco,Race,2023
6,9102,Barcelona,Race,2023
7,9110,Montréal,Race,2023
8,9118,Spielberg,Race,2023
9,9126,Silverstone,Race,2023
10,9133,Budapest,Race,2023
11,9141,Spa-Francorchamps,Race,2023
12,9149,Zandvoort,Race,2023
13,9157,Monza,Race,2023
14,9165,Marina Bay,Race,2023
15,9173,Suzuka,Race,2023
16,9221,Lusail,Race,2023
17,9213,Austin,Race,2023
18,9181,Mexico City,Race,2023
19,9205,São Paulo,Race,2023
20,9189,Las Vegas,Race,2023
21,9197,Yas Island,Race,2023
22,9472,Sakhir,Race,2024
23,9480,Jeddah,Race,2024
24,9488,Melbourne,Race,2024
25,9496,Suzuka,Race,2024
26,9673,Shanghai,Race,2024
27,9507,Miami,Race,2024
28,9515,Imola,Race,2024
29,9523,Monaco,Race,2024
30,9531,Montréal,Race,2024
31,9539,Barcelona,Race,2024
32,9550,Spielberg,Race,2024
33,9558,Silverstone,Race,2024
34,9566,Budapest,Race,2024
35,9574,Spa-Francorchamps,Race,2024
36,9582,Zandvoort,Race,2024
37,9590,Monza,Race,2024
38,9598,Baku,Race,2024
39,9606,Marina Bay,Race,2024
40,9617,Austin,Race,2024
41,9625,Mexico City,Race,2024
42,9636,São Paulo,Race,2024
43,9644,Las Vegas,Race,2024
44,9655,Lusail,Race,2024
45,9662,Yas Island,Race,2024
